"* Required Fields","* Pflichtfelder"
"Add","Hinzufügen"
"Add Gift Message","Geschenknachricht hinzufügen"
"Allow Gift Messages for Order Items","Geschenknachricht für bestellte Artikel erlauben"
"Allow Gift Messages on Order Level","Geschenknachricht bei Bestellvorgang erlauben"
"Are you sure?","Sind Sie sicher?"
"Cancel","Abbrechen"
"Check this checkbox if you want to add gift messages to your items.","Ja, ich möchte für meine Artikel Geschenknachrichten eingeben."
"Check this checkbox if you want to add gift messages.","Ja, ich möchte Geschenknachrichten eingeben."
"Close","Schliessen"
"Do you have any gift items in your order?","Haben Sie Geschenke in Ihrer Bestellung?"
"Edit","Bearbeiten"
"Edit Gift Message","Geschenknachricht ändern"
"Enter a gift message for each item in your order.","Geben Sie eine Geschenknachricht für jeden Artikel einzeln ein."
"Enter a gift message for entire order.","Geben Sie eine Geschenknachricht für die gesamte Bestellung ein."
"Enter a gift message for this address.","Geben Sie eine Geschenknachricht für diese Adresse ein."
"Error while saving gift message","Fehler beim Speichern der Geschenknachricht"
"From","Von"
"Gift Message","Geschenknachricht"
"Gift Messages","Geschenknachrichten"
"Gift message has been successfully saved","Geschenknachricht wurde gespeichert"
"Item %d of %d","Artikel %d von %d"
"Message","Nachricht"
"No","Nein"
"Remove","Entfernen"
"Save","Speichern"
"Save Gift Message","Geschenknachricht speichern"
"To","An"
"Unknown entity type","Ungültiger Entitätstyp"
"Use config","Konfiguration benutzen"
"Yes","Ja"
"You can leave a box blank if you don't wish to add a gift message for the item.","You can leave a box blank if you don't wish to add a gift message for the item."
"You can leave a box blank if you don't wish to add a gift message for this address.","You can leave a box blank if you don't wish to add a gift message for this address."
"You can leave a box blank if you don't wish to add a gift message for whole order.","You can leave a box blank if you don't wish to add a gift message for whole order."
"Your gift message has been successfully removed","Ihre Geschenknachricht wurde entfernt"
"Your gift message has been successfully saved","Ihre Geschenknachricht wurde gespeichert"
"Your gift message successfully removed","Ihre Geschenknachricht wurde entfernt"
"Your gift message successfully saved","Ihre Geschenknachricht wurde gespeichert"
