"Billing Information","Rechnungsinformationen"
"Change Payment Method","Zahlweise ändern"
"Change Shipping Address","Versandanschrift ändern"
"Edit Shopping Cart","Warenkorb bearbeiten"
"Email","E-Mail"
"Incl. Tax","Inkl. MwSt."
"Items in Your Shopping Cart","Artikel in Ihrem Warenkorb"
"No shipping method required.","Keine Versandart benötigt."
"PayPal Account","PayPal-Konto"
"PayPal Email","PayPal-E-Mail"
"Payment Method","Zahlweise"
"Place an Order","Bestellung aufgeben"
"Please select a shipping method...","Bitte wählen Sie eine Versandart..."
"Price","Preis"
"Product Name","Produktname"
"Qty","Stück"
"Review Order","Bestellübersicht"
"Shipping Address","Versandanschrift"
"Shipping Information","Versandinformationen"
"Shipping Method","Versandart"
"Sorry, no quotes are available for this order at this time.","Entschuldigung, für diese Bestellung liegen derzeit keine Angebot vor."
"Submitting order information...","Schicke Bestellungsinformationen ab..."
"Subtotal","Zwischensumme"
"Update Shipping Method","Versandart aktualisieren"
"You will be redirected to PayPal website when you place an order.","Sie werden zu PayPal weitergeleitet, wenn Sie Ihre Bestellung aufgeben."
"You will be redirected to Paypal in a few seconds.","You will be redirected to Paypal in a few seconds."
"Your billing address will be ignored and you will be redirected to PayPal website","Ihre Rechnungsadresse wurde ignoriert, sie werden zur PayPal Website weitergeleitet"
