"Action","Aktion"
"Add Sitemap","Sitemap hinzufügen"
"Always","Immer"
"CMS Pages Options","CMS-Seitenoptionen"
"Categories Options","Kategorieoptionen"
"Daily","Täglich"
"Edit Sitemap","Sitemap bearbeiten"
"Enabled","Aktiviert"
"Error Email Recipient","Empfänger für Fehler-E-Mail"
"Error Email Sender","Absender für Fehler-E-Mail"
"Error Email Template","Vorlage für Fehler-E-Mail"
"File ""%s"" cannot be saved. Please, make sure the directory ""%s"" is writeable by web server.","Datei ""%s"" kann nicht gespeichert werden. Bitte stellen Sie sicher, dass der Webserver Schreibrechte im Verzeichnis ""%s"" besitzt."
"Filename","Dateiname"
"Frequency","Häufigkeit"
"Generate","Generieren"
"Generation Settings","Einstellungen für die Erstellung"
"Google Sitemap","Google Sitemap"
"Google Sitemap Section","Bereich Google Sitemap"
"Hourly","Stündlich"
"ID","ID"
"Last Time Generated","Zuletzt erzeugt am"
"Link for Google","Link zu Google"
"Monthly","Monatlich"
"Never","Niemals"
"New Sitemap","Neue Sitemap"
"Path","Pfad"
"Please create the specified folder ""%s"" before saving the sitemap.","Bitte den angegebenen Ordner ""%s"" erstellen, bevor die Sitemap gespeichert wird."
"Please define correct path","Bitte korrekten Pfad angeben"
"Please make sure that ""%s"" is writable by web-server.","Bitte sicherstellen, dass ""%s"" vom Webserver beschrieben werden kann."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) in the filename. No spaces or other characters are allowed.","Bitte nur Buchstaben (a-z or A-Z), zahlen (0-9) or Unterstrich (_) in den Dateinamen verwenden. Keine Leerzeichen oder anderen Zeichen sind erlaubt."
"Priority","Priorität"
"Priority must be between 0 and 1","Priorität muss zwischen 0 und 1 liegen"
"Products Options","Produktoptionen"
"Sitemap","Sitemap"
"Sitemap ""%s"" has been successfully generated","Sitemap ""%s"" wurde erfolgreich generiert"
"Sitemap generate Warnings","Warnungen bei der Sitemaperstellung"
"Sitemap was successfully deleted","Sitemap wurde gelöscht"
"Sitemap was successfully saved","Sitemap wurde gespeichert"
"Start Time","Startzeit"
"Store View","Shop-Ansicht"
"This sitemap no longer exists","Sitemap existiert nicht mehr"
"Unable to find a sitemap to delete","Es wurde keine Sitemap zum Löschen gefunden"
"Unable to find a sitemap to generate","Kann keine zu generierende Sitemap finden"
"Unable to generate a sitemap","Kann Sitemap nicht generieren"
"Valid values range from 0.0 to 1.0","Gültige Werte sind von 0.0 bis 1.0"
"Weekly","Wöchentlich"
"Yearly","Jährlich"
