" Copy","Kopieren"
"Action","Aktion"
"Add New Template","Neue Vorlage"
"Add to Queue","Zur Warteschlange hinzufügen"
"Are you sure that you want to delete this template?","Sind Sie sicher, dass Sie diese Vorlage löschen möchten?"
"Are you sure that you want to strip all tags?","Sind Sie sicher, dass Sie alle HTML-Tags aus dem Text entfernen möchten?"
"Back","Zurück"
"Cancel","Abbrechen"
"Cancelled","Abgebrochen"
"Cannot delete subscriber","Abonnent konnte nicht gelöscht werden"
"Cannot delete template","Vorlage konnte nicht gelöscht weren"
"Cannot mark as received subscriber","Abonnent konnte nicht als erhalten markiert werden"
"Cannot save your subscription: %s","Konnte Ihre Anmeldung nicht speichern: %s"
"Confirmation Email Sender","Bestätigung Absender-E-Mailadresse"
"Confirmation Email Template","Bestätigung E-Mail Vorlage"
"Confirmation request has been sent","Bestätigungsanfrage wurde versandt"
"Convert to Plain Text","In reinen Text umwandeln"
"Create Newsletter Template","Newsletter-Vorlage anlegen"
"Customer","Kunde"
"Customer Firstname","Kunde Vorname"
"Customer Lastname","Kunde Nachname"
"Date Added","Hinzugefügt am"
"Date Updated","Aktualisiert am"
"Delete Selected Problems","Ausgewählte Probleme entfernen"
"Delete Template","Vorlage löschen"
"Do you really want to cancel the queue?","Sind Sie sicher, dass Sie diese Warteschlange abbrechen möchten?"
"Duplicate of template code","Doublette des Vorlagencodes"
"Edit Newsletter","Newsletter bearbeiten"
"Edit Newsletter Template","Vorlage für Newsletter bearbeiten"
"Edit Queue","Warteschlange bearbeiten"
"Edit Template","Vorlage bearbeiten"
"Email","E-Mail"
"Enter your email address","Ihre E-Mail-Adresse eingeben"
"Error Code","Fehlercode"
"Error Text","Fehlertext"
"Form was filled incorrectly","Formular wurde nicht korrekt ausgefüllt"
"Guest","Gast"
"ID","ID"
"Invalid queue selected","Ungültige Warteschlange"
"Invalid subscriber ID","Ungültige Abonnentenkennung"
"Invalid subscription ID","Ungültige Abonnenementkennung"
"Invalid subscription confirmation code","Ungültiger Abonnenement-Bestätigungscode"
"Message","Nachricht"
"Need to Confirm","Bestätigung notwendig"
"New Newsletter Template","Neue Newsletter-Vorlage"
"New Template","Neue Vorlage"
"Newsletter","Newsletter"
"Newsletter Message Preview","Newsletter-Nachrichtenvorschau"
"Newsletter Problem Reports","Newsletter-Problemreporte"
