"%1$s was successfully added to your wishlist. Click <a href=""%2$s"">here</a> to continue shopping","%1$s wurde zu Ihrem Wunschzettel hinzugefügt. Klicken Sie <a href=""%2$s"">hier</a> um weiter einzukaufen"
"%s's Wishlist","%ss Wunschzettel"
"* Required Fields","* Pflichtfelder"
"Add All to Cart","Alles in den Warenkorb"
"Add to Cart","In den Warenkorb"
"Add to Wishlist","Auf den Wunschzettel"
"Added On","Hinzugefügt am"
"Are You sure?","Sind Sie sicher?"
"Are you sure you want to remove this product from your wishlist?","Sind Sie sich sicher, dass Sie dieses Produkt von Ihrem Wunschzettel entfernen möchten?"
"Are you sure you would like to remove this item from the wishlist?","Wollen Sie diesen Artikel wirklich vom Wunschzettel entfernen?"
"Back","Zurück"
"Can't save description %s","Beschreibung %s konnte nicht gespeichert werden."
"Cannot create wishlist","Konnte Wunschzettel nicht anlegen"
"Cannot specify product","Produkt kann nicht bestimmt werden"
"Check this checkbox if you want to add a link to an rss feed to your wishlist.","Ja, ich möchte einen Link auf den RSS-Feed meines Wunschzettels hinzufügen."
"Comment","Kommentar"
"Email Sender","E-Mail-Absender"
"Email Template","E-Mail-Vorlage"
"Email address can't be empty.","Email-Adresse darf nicht leer sein."
"Email addresses, separated by commas","E-Mail-Adressen, Komma-getrennt"
"Enabled","Aktiviert"
"General Options","Allgemeine Optionen"
"Go to Wishlist","Zum Wunschzettel"
"Last Added Items","Zuletzt hinzugefügte Artikel"
"Message","Nachricht"
"My Wishlist","My Wishlist"
"My Wishlist (%d item)","Mein Wunschzettel (%d Artikel)"
"My Wishlist (%d items)","Mein Wunschzettel (%d Artikel)"
"Please enter a valid email addresses, separated by commas. For example johndoe@domain.com, johnsmith@domain.com.","Bitte geben Sie eine gültige E-Mail-Adresse ein, oder trennen<br />Sie mehrere E-Mail-Adressen mit einem Komma!<br />Zum Beispiel m.muster@domain.ch, p.meier@domain.ch."
"Please, enter your comments...","Bitte geben Sie Ihre Kommentare ein..."
"Product","Artikel"
"RSS Feed","RSS-Feed"
"RSS link to %s's wishlist","RSS-Link zu %ss Wunschzettel"
"Remove Item","Artikel entfernen"
"Share Wishlist","Wunschzettel weitergeben"
"Share Your Wishlist","Geben Sie Ihren Wunschzettel weiter"
"Share options","Weitergabeoptionen"
"Sharing Information","Weitergabeinformationen"
"There was an error while adding item to wishlist.","Beim Hinzufügen des Artikels zum Wunschzettel ist ein Fehler aufgetreten."
"There was an error while adding item to wishlist: %s","Beim Hinzufügen des Artikels zum Wunschzettel ist ein Fehler aufgetreten: %s"
"There was an error while deleting item from wishlist.","Beim Löschen des Artikels vom Wunschzettel ist ein Fehler aufgetreten."
"There was an error while deleting item from wishlist: %s","Beim Löschen des Artikels vom Wunschzettel ist ein Fehler aufgetreten: %s"
"This product(s) is currently out of stock:","Diese/s Produkt/e ist/sind zur Zeit nicht mehr am Lager:"
"Update Wishlist","Wunschzettel aktualisieren"
"View Product","Artikel ansehen"
"Wishlist","Wunschzettel"
"Wishlist Section","Bereich Wunschzettel"
"Wishlist Sharing","Wunschzettel weitergeben"
"Wishlist is empty now.","Ihr Wunschzettel ist nun leer."
"You have no items in your wishlist.","Sie haben keine Artikel auf Ihrem Wunschzettel."
"You input not valid email address.","Sie haben eine ungültige E-Mail-Adresse angegeben."
"Your Wishlist was successfully shared","Ihr Wunschzettel wurde weitergegeben."
"My Wishlist - <a href=""%s"">%d Item(s)</a>","My Wishlist - <a href=""%s"">%d Item(s)</a>"
"My Wishlist","Mein Wunschzettel"
"Are you sure you want to remove this product from your wishlist?","Are you sure you want to remove this product from your wishlist?"
"Please, enter your comments...","Please, enter your comments..."
