"%s is not correct comparsion method.","%s is not correct comparsion method."
"<strong>Please note</strong>, that these Settings are applicable to cart line Items, not the whole Cart.","<strong>Please note</strong>, that these Settings are applicable to cart line Items, not the whole Cart."
"Allow Qty Below 0","Lagerbestand unter 0 zulassen"
"Allow Qty Below 0 and Notify Customer","Lagerbestand unter 0 zulassen und Kunden informieren"
"Backorders","Nachbestellungen"
"By Fixed value","Durch festen Wert"
"By Percentage","Durch Prozent"
"Can not specify product identifier for order item","Produktbezeichner für Bestellartikel kann nicht ermittelt werden"
"Catalog Inventory","Catalog Inventory"
"Decrease Stock When Order is Placed","Lagerbestand nach Bestellung reduzieren"
"In Stock","In Stock"
"Inventory","Inventar"
"Inventory API","Inventory API"
"Inventory Section","Inventory Section"
"Manage Stock","Manage Stock"
"Maximum Qty Allowed in Shopping Cart","Höchstbestellmenge"
"Minimum Qty Allowed in Shopping Cart","Mindestbestellmenge"
"No Backorders","Keine Nachbestellungen"
"Notify for Quantity Below","Hinweis bei Lagerbestand unter"
"Out of Stock","Out of Stock"
"Product Stock Options","Product Stock Options"
"Qty for Items' Status to become Out of Stock","Qty for Items' Status to become Out of Stock"
"Retrieve stock data","Retrieve stock data"
"Retrieve stock data by product ids","Retrieve stock data by product ids"
"Rule price","Regelpreis"
"Set Items' Status to be In Stock When Order is Cancelled","Artikelstatus auf 'am Lager' setzen, wenn die Bestellung abgebrochen wird"
"Some of the products are currently out of stock","Some of the products are currently out of stock"
"Some of the products can not be ordered in requested quantity","Some of the products can not be ordered in requested quantity"
"Some of the products cannot be ordered in the requested quantity","Some of the products cannot be ordered in the requested quantity"
"Stock Options","Lageroptionen"
"Stock item for Product in option is not valid","Stock item for Product in option is not valid"
"Stock item for Product is not valid","Stock item for Product is not valid"
"The maximum quantity allowed for purchase is %s.","The maximum quantity allowed for purchase is %s."
"The minimum quantity allowed for purchase is %s.","The minimum quantity allowed for purchase is %s."
"The requested quantity for ""%s"" is not available.","Die gewünschte Anzahl für ""%s"" ist momentan nicht verfügbar."
"The requested quantity is not available.","Die gewünschte Anzahl ist momentan nicht verfügbar."
"This product is currently out of stock.","This product is currently out of stock."
"To Fixed Value","auf Betrag"
"To Percentage","auf Prozent"
"Update","Update"
"Update product stock data","Update product stock data"
"Update the Product","Produkt aktualisieren"
