"Action","Aktion"
"All types","Alle Typen"
"Backup file ""%s"" can't read or write","Backup-Datei ""%s"" Lese- oder Schreibfehler"
"Backup file ""%s"" doesn't exist","Backup-Datei ""%s"" existiert nicht"
"Backup file doesn't exist","Sicherungsdatei existiert nicht"
"Backup file handler don't specify","Backup-Datei-Handler nicht angegeben"
"Backup file path don't specify","Backup-Dateipfad nicht angegeben"
"Backups","Sicherungen"
"Cannot read backup file","Sicherungsdatei konnte nicht gelesen werden"
"Create Backup","Sicherung erstellen"
"DB","DB"
"Database was successfuly backed up.","Das Datenbank-Backup war erfolgreich."
"Download","Herunterladen"
"Error write to Backup file ""%s""","Fehler beim Schreiben der Backup-Datei ""%s"""
"File compressed with Zlib, but this extension is not installed on server","Die Datei ist mit Zlib komprimiert, diese Erweiterung ist jedoch auf dem Server nicht installiert"
"Size, byte","Grösse, Byte"
"Time","Zeit"
"Type","Typ"
"Unable to create backup. Please, try again later.","Kann Backup nicht erstellen. Bitte versuchen Sie es später nochmal."
"Wrong order of creation for new backup","Falsche Erstellungsreihenfolge für neues Backup"
