"1 star","1 Stern"
"2 stars","2 Sterne"
"3 stars","3 Sterne"
"4 stars","4 Sterne"
"5 stars","5 Sterne"
"Add New Rating","Bewertung hinzufügen"
"Assigned Options","Zugewiesene Optionen"
"Be the first to review this product","Schreiben Sie die erste Kundenmeinung"
"Default Value","Standardwert"
"Delete Rating","Bewertung löschen"
"Edit Rating","Bewertung bearbeiten"
"ID","ID"
"If you do not specify a rating title for a store, the default value will be used.","Falls Sie keinen Bewertungstitel für einen Store angeben, wird der Standardtitel verwendet."
"Manage Ratings","Ratings verwalten"
"New Rating","Neue Bewertung"
"Option Label","Optionenbezeichnung"
"Option Title","Optionentitel"
"Option Title:","Optionentitel:"
"Please select one of each ratings above","Bitte wählen Sie eine der folgenden Bewertungen"
"Rating Information","Bewertungsinformationen"
"Rating Name","Bewertungsname"
"Rating Options","Bewertungsoptionen"
"Rating Title","Bewertungsüberschrift"
"Rating Visibility","Bewertungssichtbarkeit"
"Rating isn't Available","Bewertung ist nicht verfügbar"
"Rating with the same title","Bewertung mit derselben Überschrift"
"Save Rating","Bewertung speichern"
"Visible In","Sichtbar in"
