"Alert Email Sender","E-Mail-Absender für Benachrichtigung"
"Alert subscription was deleted successfully","Anmeldung zur Benachrichtung wurde gelöscht"
"Alert subscription was saved successfully","Anmeldung zur Benachrichtung wurde gespeichert"
"Allow alert when product comes back in stock","Erlaube Benachrichtigung, wenn Produkt wieder verfügbar ist."
"Allow alert when product price changes","Erlaube Benachrichtigung, wenn sich der Produktpreis ändert"
"Click here not to receive alerts for this product","Klicken Sie hier, um keine weiteren Benachrichtungen für dieses Produkt zu erhalten"
"Error Email Recipient","E-Mail-Empfänger bei Fehler"
"Error Email Sender","E-Mail-Absender bei Fehler"
"Error Email Template","Vorlage für Fehler-E-Mail"
"Frequency","Häufigkeit"
"Not enough parameters","Parameter nicht ausreichend"
"Please try again later","Bitte versuchen Sie es später noch einmal"
"Price alert Email Template","E-Mail-Vorlage für Preisbenachrichtigung"
"Price:","Preis:"
"Product Alerts","Produktbenachrichtigungen"
"Product Alerts Run Settings","Ausführungseinstellungen für Produktbenachrichtigungen"
"Product alerts Cron error","CRON-Fehler bei Produktbenachrichtigungen"
"Product not found","Produkt nicht gefunden"
"Product price alert","Preisbenachrichtigungen"
"Product stock alert","Verfügbarkeitsbenachrichtigung"
"Sign up for price alert","Preisbenachrichtigung aktivieren"
"Sign up to get notified when this product is back in stock","Verfügbarkeitsbenachrichtigung aktivieren"
"Special price:","Sonderpreis:"
"Start Time","Startzeit"
"Stock alert Email Template","E-Mail-Vorlage für Verfügbarkeitsbenachrichtigung"
"Unsubscribe from all price alerts","Alle Preisbenachrichtigungen deaktivieren"
"Unsubscribe from all stock alerts","Alle Verfügbarkeitsbenachrichtigungen deaktivieren"
"You are receiving this notification because you subscribed to receive alerts when the following products are back in stock:","Sie erhalten diese Nachricht, da Sie die Verfügbarkeitsbenachrichtigung aktiviert haben. Die folgenden Produkte sind nun wieder für Sie verfügbar:"
"You are receiving this notification because you subscribed to receive alerts when the prices for the following products changed:","Sie erhalten diese Nachricht, da Sie die Preisbenachrichtigung aktiviert haben. Die folgenden Produkte haben sich im Preis geändert:"
"You will no longer receive price alerts for this product","Sie erhalten nun keine weiteren Preisbenachrichtigungen mehr für dieses Produkt."
"You will no longer receive stock alerts","Sie erhalten nun keine weiteren Verfügbarkeitsbenachrichtigungen mehr."
"You will no longer receive stock alerts for this product","Sie erhalten nun keine weiteren Verfügbarkeitsbenachrichtigungen mehr für dieses Produkt."
